Level,Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name
0,Hadr04.exe,0,100,0,0,0,
1,mainCRTStartup,1,100,0.04,367613.27,152.3,Hadr04.exe
2,__tmainCRTStartup,1,99.96,0,367460.96,0.13,Hadr04.exe
2,__security_init_cookie,1,0,0,0,0,Hadr04.exe
3,main,1,99.96,99.71,367460.7,366551.48,Hadr04.exe
3,exit,1,0,0,0.05,0.05,MSVCR120.dll
3,__CxxSetUnhandledExceptionFilter,1,0,0,0.01,0.01,Hadr04.exe
3,CLHEP::`dynamic initializer for 'T_HAT4'',1,0,0,0.01,0,Hadr04.exe
3,pre_cpp_init,1,0,0,0.01,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'meter3'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'T_HAT4'',1,0,0,0,0,Hadr04.exe
3,pre_c_init,1,0,0,0,0,Hadr04.exe
3,`dynamic initializer for 'IncidentEnergyBins'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'X_HAT4'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'X_HAT4'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'X_HAT4'',1,0,0,0,0,Hadr04.exe
3,std::`dynamic initializer for '_Fac_tidy_reg'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'X_HAT4'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'Z_HAT4'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'X_HAT4'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'Y_HAT4'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'T_HAT4'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'X_HAT4'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'Z_HAT4'',1,0,0,0,0,Hadr04.exe
3,`dynamic initializer for 'std::_Error_objects<int>::_Generic_object'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'T_HAT4'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'X_HAT4'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'Z_HAT4'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'X_HAT4'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'Y_HAT4'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'X_HAT4'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'X_HAT4'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'Z_HAT4'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'Y_HAT4'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'Z_HAT4'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'T_HAT4'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'T_HAT4'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'T_HAT4'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'Y_HAT4'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'T_HAT4'',1,0,0,0,0,Hadr04.exe
3,G4FFGDefaultValues::`dynamic initializer for 'SourceCenter'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'Y_HAT4'',1,0,0,0,0,Hadr04.exe
3,`dynamic initializer for 'std::_Error_objects<int>::_Iostream_object'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'Y_HAT4'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'Y_HAT4'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'Z_HAT4'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'Y_HAT4'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'T_HAT4'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'Z_HAT4'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'Y_HAT4'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'Y_HAT4'',1,0,0,0,0,Hadr04.exe
3,`dynamic initializer for 'std::_Error_objects<int>::_System_object'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'Z_HAT4'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'Z_HAT4'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'Z_HAT4'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'T_HAT4'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'HepRandomGenActive'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'centimeter3'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'centimeter3'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'meter3'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'meter3'',1,0,0,0,0,Hadr04.exe
3,__atonexitinit,1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'meter3'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'meter3'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'centimeter3'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'meter3'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'meter3'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'meter3'',1,0,0,0,0,Hadr04.exe
3,__SEH_prolog4,1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'HepRandomGenActive'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'HepRandomGenActive'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'HepRandomGenActive'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'kilogram'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'HepRandomGenActive'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'HepRandomGenActive'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'HepRandomGenActive'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'HepRandomGenActive'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'HepRandomGenActive'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'kilogram'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'kilogram'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'HepRandomGenActive'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'centimeter3'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'epsilon0'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'HepRandomGenActive'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'twopi_mc2_rcl2'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'twopi_mc2_rcl2'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'epsilon0'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'epsilon0'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'epsilon0'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'centimeter3'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'kilogram'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'epsilon0'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'meter3'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'elm_coupling'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'elm_coupling'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'elm_coupling'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'kilogram'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'elm_coupling'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'kilogram'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'kilometer3'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'epsilon0'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'kilogram'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'centimeter3'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'elm_coupling'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'elm_coupling'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'kilogram'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'elm_coupling'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'meter3'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'twopi_mc2_rcl2'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'twopi_mc2_rcl2'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'epsilon0'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'centimeter3'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'kilogram'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'epsilon0'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'kilometer3'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'kilometer3'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'elm_coupling'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'elm_coupling'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'kilometer3'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'elm_coupling'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'kilometer3'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'kilometer3'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'twopi_mc2_rcl2'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'elm_coupling'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'epsilon0'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'kilogram'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'elm_coupling'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'kilogram'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'kilogram'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'centimeter3'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'meter3'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'elm_coupling'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'epsilon0'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'kilogram'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'kilometer3'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'twopi_mc2_rcl2'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'epsilon0'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'twopi_mc2_rcl2'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'twopi_mc2_rcl2'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'epsilon0'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'twopi_mc2_rcl2'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'meter3'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'kilometer3'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'kilometer3'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'centimeter3'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'kilometer3'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'meter3'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'twopi_mc2_rcl2'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'centimeter3'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'kilometer3'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'centimeter3'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'centimeter3'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'kilometer3'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'twopi_mc2_rcl2'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'centimeter3'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'epsilon0'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'twopi_mc2_rcl2'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'kilometer3'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'twopi_mc2_rcl2'',1,0,0,0,0,Hadr04.exe
4,SteppingAction::UserSteppingAction,425181,0.08,0.01,0,0,Hadr04.exe
4,NeutronHPphysics::ConstructProcess,1,0.08,0.08,278.16,278.15,Hadr04.exe
4,RunAction::EndOfRunAction,1,0.05,0.04,174.59,141.02,Hadr04.exe
4,DetectorConstruction::ConstructVolumes,1,0.01,0,52.83,0.06,Hadr04.exe
4,RunAction::BeginOfRunAction,1,0.01,0.01,45.61,45.61,Hadr04.exe
4,[G4run.dll],1,0.01,0.01,38.72,37.4,G4run.dll
4,StackingAction::ClassifyNewTrack,57310,0,0,0,0,Hadr04.exe
4,TrackingAction::PostUserTrackingAction,2000,0,0,0,0,Hadr04.exe
4,G4VisExecutive::`scalar deleting destructor',1,0,0,3.15,3.15,Hadr04.exe
4,PrimaryGeneratorAction::GeneratePrimaries,2000,0,0,0,0,Hadr04.exe
4,?SetUserInitialization@G4RunManager@@UAEXPAVG4VUserPhysicsList@@@Z,1,0,0,2.64,0.03,G4run.dll
4,DetectorMessenger::SetNewValue,2,0,0,0.62,0.01,Hadr04.exe
4,?SetUserInitialization@G4RunManager@@UAEXPAVG4VUserActionInitialization@@@Z,1,0,0,0.94,0,G4run.dll
4,DetectorConstruction::DetectorConstruction,1,0,0,0.66,0.01,Hadr04.exe
4,G4VisExecutive::RegisterGraphicsSystems,1,0,0,0.33,0.33,Hadr04.exe
4,PhysicsList::PhysicsList,1,0,0,0.16,0.14,Hadr04.exe
4,G4VisExecutive::RegisterModelFactories,1,0,0,0.07,0.07,Hadr04.exe
4,TrackingAction::PreUserTrackingAction,2000,0,0,0,0,Hadr04.exe
4,PhysicsList::SetCuts,1,0,0,0.02,0.02,Hadr04.exe
4,RunAction::GenerateRun,1,0,0,0.01,0.01,Hadr04.exe
4,SteppingVerbose::SteppingVerbose,1,0,0,0,0,Hadr04.exe
4,?SetNumberOfEventToBeProcessed@G4Run@@QAEXH@Z,1,0,0,0,0,G4run.dll
4,NeutronHPMessenger::SetNewValue,1,0,0,0,0,Hadr04.exe
4,G4String::G4String,2,0,0,0,0,Hadr04.exe
4,ActionInitialization::ActionInitialization,1,0,0,0,0,Hadr04.exe
4,std::_Fac_tidy_reg_t::~_Fac_tidy_reg_t,1,0,0,0,0,Hadr04.exe
4,_RTC_Terminate,1,0,0,0,0,Hadr04.exe
4,atexit,1,0,0,0.01,0,Hadr04.exe
4,__getmainargs,1,0,0,0.01,0.01,MSVCR120.dll
4,atexit,1,0,0,0,0,Hadr04.exe
4,atexit,1,0,0,0,0,Hadr04.exe
4,RtlEncodePointer,1,0,0,0,0,ntdll.dll
4,_setdefaultprecision,1,0,0,0,0,Hadr04.exe
4,__set_app_type,1,0,0,0,0,MSVCR120.dll
4,_RTC_Initialize,1,0,0,0,0,Hadr04.exe
4,atexit,1,0,0,0,0,Hadr04.exe
4,atexit,1,0,0,0,0,Hadr04.exe
4,atexit,1,0,0,0,0,Hadr04.exe
4,atexit,1,0,0,0,0,Hadr04.exe
4,atexit,1,0,0,0,0,Hadr04.exe
4,atexit,1,0,0,0,0,Hadr04.exe
4,atexit,1,0,0,0,0,Hadr04.exe
4,atexit,1,0,0,0,0,Hadr04.exe
4,atexit,1,0,0,0,0,Hadr04.exe
4,atexit,1,0,0,0,0,Hadr04.exe
4,atexit,1,0,0,0,0,Hadr04.exe
4,atexit,1,0,0,0,0,Hadr04.exe
4,atexit,1,0,0,0,0,Hadr04.exe
4,atexit,1,0,0,0,0,Hadr04.exe
4,atexit,1,0,0,0,0,Hadr04.exe
4,atexit,1,0,0,0,0,Hadr04.exe
4,atexit,1,0,0,0,0,Hadr04.exe
4,atexit,1,0,0,0,0,Hadr04.exe
4,atexit,1,0,0,0,0,Hadr04.exe
4,atexit,1,0,0,0,0,Hadr04.exe
4,atexit,1,0,0,0,0,Hadr04.exe
4,atexit,1,0,0,0,0,Hadr04.exe
4,atexit,1,0,0,0,0,Hadr04.exe
4,atexit,1,0,0,0,0,Hadr04.exe
4,atexit,1,0,0,0,0,Hadr04.exe
4,atexit,1,0,0,0,0,Hadr04.exe
4,atexit,1,0,0,0,0,Hadr04.exe
4,atexit,1,0,0,0,0,Hadr04.exe
4,atexit,1,0,0,0,0,Hadr04.exe
4,atexit,1,0,0,0,0,Hadr04.exe
4,atexit,1,0,0,0,0,Hadr04.exe
4,atexit,1,0,0,0,0,Hadr04.exe
